Name,Image Link,Movie Watch link,Description,IMDB Ratings,Rotten Tomatoes Ratings,cast,Timeline,Categories,Language
THE CINCINNATI KID HD-720P,https://cdn.themovieseries.net/cover/the-cincinnati-kid.png,https://vidcloud9.com/streaming.php?id=NzUwNTM=&title=The+Cincinnati+Kid+HD-720p&typesub=SUB&sub=L3RoZS1jaW5jaW5uYXRpLWtpZC1oZC03MjBwL3RoZS1jaW5jaW5uYXRpLWtpZC1oZC03MjBwLnZ0dA==&cover=Y292ZXIvdGhlLWNpbmNpbm5hdGkta2lkLnBuZw==,The film is based on the novel written by Richard Jessup. It is about an important game between the Kid and the Man. The Kid is famous poker player and the Man is the reigning poker champ. What will happen?                    , 7.3/10  (14975) , 82%  (22) ,cast :,timeline : ,categories :,English
THE DARK HALF HD-720P,https://cdn.themovieseries.net/cover/the-dark-half.png,https://vidcloud9.com/streaming.php?id=NzUwMjk=&title=The+Dark+Half+HD-720p&typesub=SUB&sub=L3RoZS1kYXJrLWhhbGYtaGQtNzIwcC90aGUtZGFyay1oYWxmLWhkLTcyMHAudnR0&cover=Y292ZXIvdGhlLWRhcmstaGFsZi5wbmc=,Thad Beaumont is a horror writer wants to distance himself from his novel so he invents a story of murder. Butcoma% When the people around him discover the truthcoma% what will happen to him?                    , 6/10  (15630) , 58%  (33) ,cast :,timeline : ,categories :,English
THE FIANCÉ SD,https://cdn.themovieseries.net/cover/the-fiance.png,https://vidcloud9.com/streaming.php?id=NzUwMTc=&title=The+Fianc%C3%A9+SD&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWZpYW5jZS5wbmc=,Directed by Mark Allen Michaelscoma% the movie tells the horrific story of a young and beautiful bride-to-be who encounters Bigfoot and gets bitten by the legendary creaturecoma% only to become a brutal force of naturecoma% hellbent on breaking her engagement... and her fiance.                    , 2.4/10  (119) ,,cast :,timeline : ,categories :,English
BROADCASTING CHRISTMAS HD-720P,https://cdn.themovieseries.net/cover/broadcasting-christmas.png,https://vidcloud9.com/streaming.php?id=NzUwMTY=&title=Broadcasting+Christmas+HD-720p&typesub=SUB&sub=&cover=Y292ZXIvYnJvYWRjYXN0aW5nLWNocmlzdG1hcy5wbmc=,Two news broadcasters who have a bit of history are both vying for the job as the new co-host of a new morning show. As they fight for that positioncoma% they ultimately realize what made them like each other so much in the first place.                    , 6.3/10  (1178) ,,cast :,timeline : ,categories :,English
LOVE IS ALL YOU NEED? HD-720P,https://cdn.themovieseries.net/cover/love-is-all-you-need.png,https://vidcloud9.com/streaming.php?id=NzUwMTQ=&title=Love+Is+All+You+Need%3F+HD-720p&typesub=SUB&sub=&cover=Y292ZXIvbG92ZS1pcy1hbGwteW91LW5lZWQucG5n,Set in a world where the social norm is reversed: homosexuality is mainstream and heterosexuality is taboocoma% the movie tells the story of a female quarterback and a journalist who get harassed for falling in love with each other.                    , 6.2/10  (850) , 75%  (108) ,cast :,timeline : ,categories :,English
THE FOOTBALL FACTORY HD-720P,https://cdn.themovieseries.net/cover/the-football-factory.png,https://vidcloud9.com/streaming.php?id=NzUwMTM=&title=The+Football+Factory+HD-720p&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWZvb3RiYWxsLWZhY3RvcnkucG5n,The film centers on the life of Chelsea football hooligan - Tommy who experiences boring days with violencecoma% sexcoma% drugs & alcohol. That is diffcult fighting which he must try to change his life for the better.                    , 6.8/10  (28320) , 38%  (8) ,cast :,timeline : ,categories :,English
THE LOST BATTALION HD-720P,https://cdn.themovieseries.net/cover/the-lost-battalion.png,https://vidcloud9.com/streaming.php?id=NzUwMDk=&title=The+Lost+Battalion+HD-720p&typesub=SUB&sub=&cover=Y292ZXIvdGhlLWxvc3QtYmF0dGFsaW9uLnBuZw==,The story takes place on a film set in 1918 during the final months of World War I. It is about an American battalion of over 500 men trapped in the Argonne Forest. They must suffer unbelievable losses and unspeakable hardships.                    , 7/10  (6606) ,,cast :,timeline : ,categories :,English
THE PAGAN QUEEN HD-720P ,https://cdn.themovieseries.net/cover/the-pagan-queen.png,https://vidcloud9.com/streaming.php?id=NzUwMDg=&title=The+Pagan+Queen+HD-720p+&typesub=SUB&sub=&cover=Y292ZXIvdGhlLXBhZ2FuLXF1ZWVuLnBuZw==,The film is based on the Czech legend of Libuse. It centers on outstanding woman who has talent for seeing what happens in the future. Unfortunatelycoma% she is forced to get married with unexpected lover.                    , 5.5/10  (1880) ,,cast :,timeline : ,categories :,English
THE STEPFATHER 2009 HD-720P,https://cdn.themovieseries.net/cover/the-stepfather-2009.png,https://vidcloud9.com/streaming.php?id=NzUwMDc=&title=The+Stepfather+%282009%29+HD-720p&typesub=SUB&sub=L3RoZS1zdGVwZmF0aGVyLTIwMDktaGQtNzIwcC90aGUtc3RlcGZhdGhlci0yMDA5LWhkLTcyMHAudnR0&cover=Y292ZXIvdGhlLXN0ZXBmYXRoZXItMjAwOS5wbmc=,Michael receives a warm welcome when he comes back home from school. He confront his mother's boyfriend and they live together. It is not longcoma% howevercoma% he uncovers a secret which makes everything become chaos.                    , 5.6/10  (30889) , 11%  (62) ,cast :,timeline : ,categories :,English
THE TIN DRUM DIE BLECHTROMME HD-720P,https://cdn.themovieseries.net/cover/the-tin-drum-die-blechtromme.png,https://vidcloud9.com/streaming.php?id=NzUwMDY=&title=The+Tin+Drum+%28Die+Blechtromme%29+HD-720p&typesub=SUB&sub=L3RoZS10aW4tZHJ1bS1kaWUtYmxlY2h0cm9tbWUtaGQtNzIwcC90aGUtdGluLWRydW0tZGllLWJsZWNodHJvbW1lLWhkLTcyMHAudnR0&cover=Y292ZXIvdGhlLXRpbi1kcnVtLWRpZS1ibGVjaHRyb21tZS5wbmc=,The film tells a story of Oskar Matzerath who is a son of a local dealer and is a extraordinary boy. On his third birthdaycoma% he makes an important decision not to grow up after witnessing the dark side of the world at the eve of World War II. Then he is immersed in his tin drum to find the safe and sound.                    , 7.5/10  (21898) , 83%  (23) ,cast :,timeline : ,categories :,English
