Name,Image Link,Movie Watch link,Description,IMDB Ratings,Rotten Tomatoes Ratings,cast,Timeline,Categories,Language
MISS DALÍ,https://cdn.themovieseries.net/cover/miss-dali.png,https://vidcloud9.com/streaming.php?id=MjY0OTc5&title=Miss+Dal%C3%AD&typesub=SUB&sub=&cover=Y292ZXIvbWlzcy1kYWxpLnBuZw==,Anna Maria Dalí is four years younger than her brother Salvador and they love each other. Both enjoy the great progressive atmosphere of republican Spaincoma% fraternizing with great creatorscoma% García Lorcacoma% Buñuel.                    , 5/10  (64) ,,cast :,timeline : ,categories :,English
WINTERSKIN,https://cdn.themovieseries.net/cover/winterskin.png,https://vidcloud9.com/streaming.php?id=MjY0OTc4&title=Winterskin&typesub=SUB&sub=&cover=Y292ZXIvd2ludGVyc2tpbi5wbmc=,Gunned down in the snowy wilderness and desperate for sheltercoma% Billy Cavanagh is taken in by kooky old lady Agnescoma% unaware that her isolated log cabin is being stalked by a bloodthirsty skinless creature hellbent on getting inside.                    , 3.8/10  (222) ,,cast :,timeline : ,categories :,English
STRANGE EVENTS 2,https://cdn.themovieseries.net/cover/strange-events-2.png,https://vidcloud9.com/streaming.php?id=MjY0OTc2&title=Strange+Events+2&typesub=SUB&sub=&cover=Y292ZXIvc3RyYW5nZS1ldmVudHMtMi5wbmc=,The world's horrors become reality as ghostscoma% monsterscoma% ghoulscoma% and ghastly creatures come to life. The strange and twisted becomes the norm as the paranormalcoma% supernaturalcoma% and downright ...                    , 3.3/10  (95) ,,cast :,timeline : ,categories :,English
BACK OF THE NET,https://cdn.themovieseries.net/cover/back-of-the-net.png,https://vidcloud9.com/streaming.php?id=MjY0OTcz&title=Back+of+the+Net&typesub=SUB&sub=&cover=Y292ZXIvYmFjay1vZi10aGUtbmV0LnBuZw==,A new student at a soccer academy is determined to beat her rivals team in the national tournament.                    , 5.1/10  (418) , 50%  (6) ,cast :,timeline : ,categories :,English
FALSE FLAG,https://cdn.themovieseries.net/cover/false-flag.png,https://vidcloud9.com/streaming.php?id=MjY0OTcy&title=False+Flag&typesub=SUB&sub=&cover=Y292ZXIvZmFsc2UtZmxhZy5wbmc=,The recounted events of the night that two estranged brothers attempted to reconnect and escape a small towncoma% seemingly taken over by martial law.                    , 3/10  (71) ,,cast :,timeline : ,categories :,English
DISAPPEARANCE ,https://cdn.themovieseries.net/cover/disappearance.png,https://vidcloud9.com/streaming.php?id=MjY0OTcx&title=Disappearance+&typesub=SUB&sub=L2Rpc2FwcGVhcmFuY2UvZGlzYXBwZWFyYW5jZS52dHQ=&cover=Y292ZXIvZGlzYXBwZWFyYW5jZS5wbmc=,After the Author George Boulangé disappears from his sailboat one nightcoma% Detective Kenny Park must try to ascertain what happened by interviewing his wifecoma% girlfriend and captain.                    , 6.7/10  (393) , 80%  (5) ,cast :,timeline : ,categories :,English
WALLY GOT WASTED,https://cdn.themovieseries.net/cover/wally-got-wasted.png,https://vidcloud9.com/streaming.php?id=MjY0OTcw&title=Wally+Got+Wasted&typesub=SUB&sub=&cover=Y292ZXIvd2FsbHktZ290LXdhc3RlZC5wbmc=,"Wally Got Wasted" is a comedy feature film that follows the adventures of 3 friends who accidentally kill a scumbagcoma% then screw up getting rid of the bodycoma% so they are forced to pretend he...                    , 4.5/10  (294) ,,cast :,timeline : ,categories :,English
BEATS,https://cdn.themovieseries.net/cover/beats.png,https://vidcloud9.com/streaming.php?id=MjY0OTY5&title=Beats&typesub=SUB&sub=L2JlYXRzL2JlYXRzLnZ0dA==&cover=Y292ZXIvYmVhdHMucG5n,Two teenage boys in Scotland in 1994coma% best friends with no control over their livescoma% risk everything to attend an illegal ravecoma% hoping for the best night of their boring lives.                    , 6.4/10  (3946) , 98%  (56) ,cast :,timeline : ,categories :,English
GHOST LIGHT,https://cdn.themovieseries.net/cover/ghost-light.png,https://vidcloud9.com/streaming.php?id=MjY0NTMy&title=Ghost+Light&typesub=SUB&sub=&cover=Y292ZXIvZ2hvc3QtbGlnaHQucG5n,A dark comedy about a disgruntled summer-stock actor who contemptuously disregards the superstition surrounding Shakespeares tragedycoma% Macbeth. By doing so he unleashes the curse of The Scottish Play and wreaks havoc on the company.                    , 5.1/10  (445) , 74%  (23) ,cast :,timeline : ,categories :,English
ADAM DEVINE BEST TIME OF OUR LIVES,https://cdn.themovieseries.net/cover/adam-devine-best-time-of-our-lives.png,https://vidcloud9.com/streaming.php?id=MjY0OTYz&title=Adam+Devine%3A+Best+Time+of+Our+Lives&typesub=SUB&sub=&cover=Y292ZXIvYWRhbS1kZXZpbmUtYmVzdC10aW1lLW9mLW91ci1saXZlcy5wbmc=,Frenetic comic Adam Devine talks teen awkwardnesscoma% celebrity encounterscoma% his "Pitch Perfect" audition and more in a special from his hometown of Omaha.                    , 6.8/10   ,,cast :,timeline : ,categories :,English
